zip,city,longitude,latitude,pop,state
01469,Townsend,-71.689646,42.652511,6112,MA
01473,Westminster,-71.909599,42.548319,6191,MA
01474,W Townsend,-71.74057,42.670404,2452,MA
01475,Winchendon,-72.047524,42.678943,8805,MA
01501,Auburn,-71.839144,42.205502,15007,MA
01503,Berlin,-71.635634,42.384438,2293,MA
01504,Blackstone,-71.52691,42.028708,8023,MA
01505,Boylston,-71.731042,42.337727,3517,MA
01506,Brookfield,-72.098887,42.199141,2968,MA
01507,Charlton,-71.966384,42.137902,9576,MA
01510,Clinton,-71.682847,42.418147,13269,MA
01515,East Brookfield,-72.048078,42.219308,2033,MA
01516,East Douglas,-71.726611,42.060566,5594,MA
01518,Fiskdale,-72.117764,42.122762,774,MA
01519,Grafton,-71.686848,42.200371,4910,MA
01520,Holden,-71.84142,42.341983,12051,MA
01521,Holland,-72.154373,42.040264,747,MA
01522,Jefferson,-71.87058,42.375519,2478,MA
01523,Lancaster,-71.686831,42.450984,6018,MA
01524,Leicester,-71.918829,42.237047,6527,MA
01527,Millbury,-71.764438,42.196779,12228,MA
01529,Millville,-71.579813,42.033102,2236,MA
01531,New Braintree,-72.130642,42.31977,881,MA
01532,Northborough,-71.646372,42.318242,11930,MA
01534,Northbridge,-71.656366,42.1494,4564,MA
01535,North Brookfield,-72.082129,42.266455,4755,MA
01536,North Grafton,-71.703691,42.229726,5401,MA
01537,North Oxford,-71.885953,42.16549,3031,MA
01540,Oxford,-71.868677,42.11285,9557,MA
01541,Princeton,-71.876245,42.450812,3189,MA
01542,Rochdale,-71.906882,42.199685,1154,MA
01543,Rutland,-71.948951,42.376199,4936,MA
01545,Shrewsbury,-71.720503,42.284801,24146,MA
01550,Southbridge,-72.035347,42.075024,17816,MA
01560,South Grafton,-71.692725,42.176042,2719,MA
01562,Spencer,-71.990617,42.244103,11598,MA
01564,Sterling,-71.775192,42.435351,6481,MA
01566,Sturbridge,-72.084233,42.112619,7001,MA
01568,West Upton,-71.608014,42.173275,4682,MA
01569,Uxbridge,-71.632869,42.074426,10364,MA
01570,Dudley Hill,-71.839467,42.047574,3735,MA
01571,Dudley,-71.893228,42.048894,22001,MA
01581,Westborough,-71.617604,42.267891,14132,MA
01583,West Boylston,-71.783822,42.35836,6611,MA
01585,West Brookfield,-72.151137,42.244137,3528,MA
01588,Whitinsville,-71.664357,42.115319,8807,MA
01590,Wilkinsonville,-71.748416,42.140586,6719,MA
01602,Worcester,-71.841678,42.270251,19988,MA
01603,Worcester,-71.837995,42.245033,18605,MA
01604,Worcester,-71.774626,42.254084,29036,MA
01605,Worcester,-71.788795,42.289391,25695,MA
01606,Worcester,-71.795774,42.311029,18213,MA
01607,Worcester,-71.793837,42.230294,9048,MA
01608,Worcester,-71.800262,42.262425,3646,MA
01609,Worcester,-71.817456,42.275387,21905,MA
01610,Worcester,-71.810798,42.249186,23720,MA
01611,Cherry Valley,-71.874971,42.237287,2510,MA
01612,Paxton,-71.920234,42.306646,4047,MA
01701,Framingham,-71.425486,42.300665,65046,MA
01718,Village Of Nagog,-71.422354,42.514941,2330,MA
01719,Boxboro,-71.518229,42.486876,3343,MA
01720,Acton,-71.448255,42.475076,15514,MA
01721,Ashland,-71.458347,42.253909,12066,MA
01730,Bedford,-71.276796,42.484287,16147,MA
01740,Bolton,-71.607593,42.436523,3134,MA
01741,Carlisle,-71.351892,42.528562,4333,MA
01742,Concord,-71.374741,42.456701,17076,MA
01745,Southborough,-71.502256,42.293221,506,MA
01746,Holliston,-71.436059,42.202641,12917,MA
01747,Hopedale,-71.537601,42.126796,5649,MA
01748,Hopkinton,-71.530178,42.219046,9191,MA
01749,Hudson,-71.560896,42.391796,17233,MA
01752,Marlborough,-71.543355,42.350861,31813,MA
01754,Maynard,-71.454975,42.432118,10325,MA
01756,Mendon,-71.549882,42.096744,4010,MA
01757,Milford,-71.527402,42.151142,25372,MA
01760,Natick,-71.35741,42.287476,30432,MA
01770,Sherborn,-71.378717,42.233088,3998,MA
01772,Southborough,-71.531997,42.293919,6122,MA
01773,Lincoln,-71.313723,42.421723,4515,MA
01775,Stow,-71.515019,42.430785,5328,MA
01776,Sudbury,-71.428159,42.383655,14358,MA
01778,Wayland,-71.358781,42.348629,11874,MA
01801,Woburn,-71.157404,42.482894,36152,MA
01803,Burlington,-71.200437,42.508942,23093,MA
01810,Andover,-71.156481,42.64956,29161,MA
01821,Billerica,-71.251754,42.551874,28899,MA
01824,South Chelmsford,-71.357521,42.59356,24457,MA
01826,Dracut,-71.318592,42.676422,25594,MA
